"id","nome","nome-2"
1,"Acid","Slide/Grind"
2,"Backslide","Slide/Grind"
3,"Fastslide","Slide/Grind"
4,"Fishbrain","Slide/Grind"
5,"Kindgrind","Slide/Grind"
6,"Makir","Slide/Grind"
7,"Mistral","Slide/Grind"
8,"Mizou","Slide/Grind"
9,"Nuggen","Slide/Grind"
10,"Pornstar","Slide/Grind"
11,"Pudslide","Slide/Grind"
12,"Royale","Slide/Grind"
13,"Savanah","Slide/Grind"
14,"Sweatsteance","Slide/Grind"
15,"Soul","Slide/Grind"
16,"Torque","Slide/Grind"
17,"Ufo","Slide/Grind"
18,"Unity","Slide/Grind"
19,"Xgrind","Slide/Grind"
20,"Backflip","Giro"
21,"Corck Screw","Giro"
22,"Flatspin","Giro"
23,"Frontflip","Giro"
24,"Mistyflip","Giro"
25,"Monkeyflip","Giro"
26,"180","Giro"
27,"360","Giro"
28,"540","Giro"
29,"720","Giro"
30,"900","Giro"
31,"1080","Giro"
32,"1260","Giro"
33,"Abstract","Grab"
34,"Cross","Grab"
35,"Cross Rocket","Grab"
36,"Japan","Grab"
37,"Liu Kang","Grab"
38,"Mute","Grab"
39,"Parallel","Grab"
40,"Rocket","Grab"
41,"Safety","Grab"
42,"Shifty","Grab"
43,"Stale","Grab"
44,"Stale Japan","Grab"
45,"Acid","Stall"
46,"Backslide","Stall"
47,"Fastslide","Stall"
48,"Fishbrain","Stall"
49,"Kindgrind","Stall"
50,"Makir","Stall"
51,"Mistral","Stall"
52,"Mizou","Stall"
53,"Nuggen","Stall"
54,"Pornstar","Stall"
55,"Pudslide","Stall"
56,"Royale","Stall"
57,"Savanah","Stall"
58,"Sweatsteance","Stall"
59,"Soul","Stall"
60,"Torque","Stall"
61,"Ufo","Stall"
62,"Unity","Stall"
63,"Xgrind","Stall"
